D3D!D3D_Effect_CloneEffect	System.UInt32	System.UInt32,System.UInt32,ref:Microsoft.Xna.Framework.Graphics.UnsafeNativeStructures/EFFECT_DESC	HANDLE
D3D!D3D_Effect_CreateHandle	System.UInt32	ptr:System.Void,System.UInt32,System.UInt32,ref:Microsoft.Xna.Framework.Graphics.UnsafeNativeStructures/EFFECT_DESC	HANDLE
D3D!D3D_Effect_GetParameter	System.UInt32	System.UInt32,struct:Microsoft.Xna.Framework.Graphics.UnsafeNativeStructures/D3DXPARAM_INPUT,ref:Microsoft.Xna.Framework.Graphics.UnsafeNativeStructures/EFFECT_PARAMETER_DESC,sb,sb	HANDLE
D3D!D3D_Effect_GetPass	System.UInt32	System.UInt32,System.UInt32,System.UInt32,System.UInt32,ref:Microsoft.Xna.Framework.Graphics.UnsafeNativeStructures/EFFECT_PASS_DESC,sb	unknown
D3D!D3D_Effect_GetTechnique	System.UInt32	System.UInt32,System.UInt32,System.UInt32,ref:Microsoft.Xna.Framework.Graphics.UnsafeNativeStructures/EFFECT_TECHNIQUE_DESC,sb	unknown
D3D!D3D_Effect_GetTexture	System.UInt32	System.UInt32,System.UInt32,System.UInt32,ref:System.UInt32,ref:Microsoft.Xna.Framework.Graphics.TextureType,ref:Microsoft.Xna.Framework.Graphics.UnsafeNativeStructures/TEXTURE_CREATION_PARAMS	unknown
D3D!D3D_Effect_GetValue	System.UInt32	System.UInt32,System.UInt32,System.UInt32,struct:Microsoft.Xna.Framework.Graphics.GetShaderValueType,ptr:System.Void,System.UInt32,System.UInt32	ERROR
D3D!D3D_Effect_GetValueString	System.UInt32	System.UInt32,System.UInt32,System.UInt32,sb	ERROR
D3D!D3D_Effect_ReleaseHandle	System.Void	System.UInt32,System.UInt32	unknown
D3D!D3D_GetCurrentDisplayMode	System.UInt32	System.UInt32,ref:Microsoft.Xna.Framework.Graphics.UnsafeNativeStructures/DISPLAY_MODE_INFO,ref:System.UInt32	unknown
D3D!D3D_GetLastErrorDetails	System.UInt32	System.UInt32,ref:System.UInt32,ref:System.UInt32	unknown
D3D!D3D_GetSupportedDisplayMode	System.UInt32	System.UInt32,System.UInt32,ref:Microsoft.Xna.Framework.Graphics.UnsafeNativeStructures/DISPLAY_MODE_INFO	unknown
D3D!D3D_IndexBuffer_CopyData	System.UInt32	System.UInt32,System.UInt32,ptr:System.Void,System.UInt32,System.UInt32,System.UInt32,System.Byte	unknown
D3D!D3D_IndexBuffer_CreateHandle	System.UInt32	System.UInt32,System.UInt32,System.Int32,System.Int32	HANDLE
D3D!D3D_IndexBuffer_ReleaseHandle	System.Void	System.UInt32,System.UInt32	unknown
D3D!D3D_IsProfileSupported	System.UInt32	System.UInt32,struct:Microsoft.Xna.Framework.Graphics.GraphicsProfile	unknown
D3D!D3D_OcclusionQuery_CreateHandle	System.UInt32	System.UInt32	unknown
